[2023-11-08 18:19:00]: Path: save/1699447740/ is created
[2023-11-08 18:19:07]: Start train process.
[2023-11-08 18:45:36]: | epoch   7 |  2000/ 3494 batches | rec loss 0.3601 | dis loss 0.1455 |
[2023-11-08 18:45:48]: | epoch   7 |  2200/ 3494 batches | rec loss 0.3341 | dis loss 0.1506 |
[2023-11-08 18:45:59]: | epoch   7 |  2400/ 3494 batches | rec loss 0.3793 | dis loss 0.1448 |
[2023-11-08 18:46:11]: | epoch   7 |  2600/ 3494 batches | rec loss 0.4147 | dis loss 0.2039 |
[2023-11-08 18:46:23]: | epoch   7 |  2800/ 3494 batches | rec loss 0.4301 | dis loss 0.1825 |
[2023-11-08 18:46:35]: | epoch   7 |  3000/ 3494 batches | rec loss 0.3865 | dis loss 0.1602 |
[2023-11-08 18:46:47]: | epoch   7 |  3200/ 3494 batches | rec loss 0.3618 | dis loss 0.2200 |
[2023-11-08 18:46:59]: | epoch   7 |  3400/ 3494 batches | rec loss 0.2806 | dis loss 0.1325 |
[2023-11-08 18:47:05]: | end of epoch   7 | time: 208.79s |
[2023-11-08 18:47:05]: | epoch   8 |     0/ 3494 batches | rec loss 0.3615 | dis loss 0.2290 |
[2023-11-08 18:47:18]: | epoch   8 |   200/ 3494 batches | rec loss 0.3495 | dis loss 0.2170 |
[2023-11-08 18:47:30]: | epoch   8 |   400/ 3494 batches | rec loss 0.3431 | dis loss 0.2651 |
[2023-11-08 18:47:42]: | epoch   8 |   600/ 3494 batches | rec loss 0.3525 | dis loss 0.2472 |
[2023-11-08 18:47:54]: | epoch   8 |   800/ 3494 batches | rec loss 0.4253 | dis loss 0.1610 |
[2023-11-08 18:48:06]: | epoch   8 |  1000/ 3494 batches | rec loss 0.4260 | dis loss 0.2731 |
[2023-11-08 18:48:18]: | epoch   8 |  1200/ 3494 batches | rec loss 0.3317 | dis loss 0.0978 |
[2023-11-08 18:48:29]: | epoch   8 |  1400/ 3494 batches | rec loss 0.3568 | dis loss 0.1669 |
[2023-11-08 18:48:43]: | epoch   8 |  1600/ 3494 batches | rec loss 0.3902 | dis loss 0.2542 |
[2023-11-08 18:48:58]: | epoch   8 |  1800/ 3494 batches | rec loss 0.4021 | dis loss 0.2270 |
[2023-11-08 18:49:14]: | epoch   8 |  2000/ 3494 batches | rec loss 0.3328 | dis loss 0.1674 |
[2023-11-08 18:49:29]: | epoch   8 |  2200/ 3494 batches | rec loss 0.3091 | dis loss 0.1977 |
[2023-11-08 18:49:44]: | epoch   8 |  2400/ 3494 batches | rec loss 0.3873 | dis loss 0.1359 |
[2023-11-08 18:50:00]: | epoch   8 |  2600/ 3494 batches | rec loss 0.4045 | dis loss 0.2087 |
[2023-11-08 18:50:15]: | epoch   8 |  2800/ 3494 batches | rec loss 0.4316 | dis loss 0.1990 |
[2023-11-08 18:50:30]: | epoch   8 |  3000/ 3494 batches | rec loss 0.4007 | dis loss 0.1968 |
[2023-11-08 18:50:46]: | epoch   8 |  3200/ 3494 batches | rec loss 0.3629 | dis loss 0.2030 |
[2023-11-08 18:51:01]: | epoch   8 |  3400/ 3494 batches | rec loss 0.2740 | dis loss 0.1215 |
[2023-11-08 18:51:08]: | end of epoch   8 | time: 243.20s |
[2023-11-08 18:51:09]: | epoch   9 |     0/ 3494 batches | rec loss 0.3396 | dis loss 0.2332 |
[2023-11-08 18:51:23]: | epoch   9 |   200/ 3494 batches | rec loss 0.3605 | dis loss 0.2112 |
[2023-11-08 18:51:36]: | epoch   9 |   400/ 3494 batches | rec loss 0.2957 | dis loss 0.2859 |
[2023-11-08 18:51:49]: | epoch   9 |   600/ 3494 batches | rec loss 0.3602 | dis loss 0.2413 |
[2023-11-08 18:52:02]: | epoch   9 |   800/ 3494 batches | rec loss 0.4094 | dis loss 0.1538 |
[2023-11-08 18:52:15]: | epoch   9 |  1000/ 3494 batches | rec loss 0.4036 | dis loss 0.2538 |
[2023-11-08 18:52:28]: | epoch   9 |  1200/ 3494 batches | rec loss 0.3052 | dis loss 0.0929 |
[2023-11-08 18:52:41]: | epoch   9 |  1400/ 3494 batches | rec loss 0.3656 | dis loss 0.1602 |
[2023-11-08 18:52:53]: | epoch   9 |  1600/ 3494 batches | rec loss 0.3838 | dis loss 0.2569 |
[2023-11-08 18:53:05]: | epoch   9 |  1800/ 3494 batches | rec loss 0.3801 | dis loss 0.2018 |
[2023-11-08 18:53:17]: | epoch   9 |  2000/ 3494 batches | rec loss 0.3156 | dis loss 0.1432 |
[2023-11-08 18:53:28]: | epoch   9 |  2200/ 3494 batches | rec loss 0.2995 | dis loss 0.1480 |
[2023-11-08 18:53:40]: | epoch   9 |  2400/ 3494 batches | rec loss 0.3547 | dis loss 0.1580 |
[2023-11-08 18:53:52]: | epoch   9 |  2600/ 3494 batches | rec loss 0.3888 | dis loss 0.2357 |
[2023-11-08 18:54:04]: | epoch   9 |  2800/ 3494 batches | rec loss 0.4219 | dis loss 0.2072 |
[2023-11-08 18:54:15]: | epoch   9 |  3000/ 3494 batches | rec loss 0.3845 | dis loss 0.1707 |
[2023-11-08 18:54:27]: | epoch   9 |  3200/ 3494 batches | rec loss 0.3625 | dis loss 0.2347 |
[2023-11-08 18:54:39]: | epoch   9 |  3400/ 3494 batches | rec loss 0.2810 | dis loss 0.1300 |
[2023-11-08 18:54:45]: | end of epoch   9 | time: 215.93s |
[2023-11-08 18:54:45]: | epoch  10 |     0/ 3494 batches | rec loss 0.3280 | dis loss 0.2614 |
[2023-11-08 18:54:58]: | epoch  10 |   200/ 3494 batches | rec loss 0.3313 | dis loss 0.1728 |
[2023-11-08 18:55:11]: | epoch  10 |   400/ 3494 batches | rec loss 0.3130 | dis loss 0.2616 |
[2023-11-08 18:55:25]: | epoch  10 |   600/ 3494 batches | rec loss 0.3325 | dis loss 0.2577 |
[2023-11-08 18:55:39]: | epoch  10 |   800/ 3494 batches | rec loss 0.3864 | dis loss 0.1614 |
[2023-11-08 18:55:51]: | epoch  10 |  1000/ 3494 batches | rec loss 0.3883 | dis loss 0.2611 |
[2023-11-08 18:56:03]: | epoch  10 |  1200/ 3494 batches | rec loss 0.3144 | dis loss 0.0789 |
[2023-11-08 18:56:15]: | epoch  10 |  1400/ 3494 batches | rec loss 0.3384 | dis loss 0.1776 |
[2023-11-08 18:56:31]: | epoch  10 |  1600/ 3494 batches | rec loss 0.3551 | dis loss 0.2539 |
[2023-11-08 18:56:46]: | epoch  10 |  1800/ 3494 batches | rec loss 0.3443 | dis loss 0.1933 |
[2023-11-08 18:57:01]: | epoch  10 |  2000/ 3494 batches | rec loss 0.2952 | dis loss 0.1390 |
[2023-11-08 18:57:16]: | epoch  10 |  2200/ 3494 batches | rec loss 0.3055 | dis loss 0.1610 |
[2023-11-08 18:57:31]: | epoch  10 |  2400/ 3494 batches | rec loss 0.3333 | dis loss 0.1419 |
[2023-11-08 18:57:47]: | epoch  10 |  2600/ 3494 batches | rec loss 0.3658 | dis loss 0.2346 |
[2023-11-08 18:58:02]: | epoch  10 |  2800/ 3494 batches | rec loss 0.4094 | dis loss 0.1893 |
[2023-11-08 18:58:17]: | epoch  10 |  3000/ 3494 batches | rec loss 0.3732 | dis loss 0.1846 |
[2023-11-08 18:58:32]: | epoch  10 |  3200/ 3494 batches | rec loss 0.3527 | dis loss 0.2114 |
[2023-11-08 18:58:48]: | epoch  10 |  3400/ 3494 batches | rec loss 0.2672 | dis loss 0.1216 |
[2023-11-08 18:58:55]: | end of epoch  10 | time: 250.09s |
[2023-11-08 18:58:55]: | epoch  11 |     0/ 3494 batches | rec loss 0.3314 | dis loss 0.2044 |
[2023-11-08 18:59:10]: | epoch  11 |   200/ 3494 batches | rec loss 0.3201 | dis loss 0.1680 |
[2023-11-08 18:59:23]: | epoch  11 |   400/ 3494 batches | rec loss 0.2934 | dis loss 0.2996 |
[2023-11-08 18:59:35]: | epoch  11 |   600/ 3494 batches | rec loss 0.3299 | dis loss 0.2368 |
[2023-11-08 18:59:47]: | epoch  11 |   800/ 3494 batches | rec loss 0.3947 | dis loss 0.1723 |
[2023-11-08 18:59:58]: | epoch  11 |  1000/ 3494 batches | rec loss 0.3765 | dis loss 0.2440 |
[2023-11-08 19:00:10]: | epoch  11 |  1200/ 3494 batches | rec loss 0.2825 | dis loss 0.0839 |
[2023-11-08 19:00:22]: | epoch  11 |  1400/ 3494 batches | rec loss 0.3286 | dis loss 0.1529 |
[2023-11-08 19:00:34]: | epoch  11 |  1600/ 3494 batches | rec loss 0.3562 | dis loss 0.2216 |
[2023-11-08 19:00:46]: | epoch  11 |  1800/ 3494 batches | rec loss 0.3354 | dis loss 0.2024 |
[2023-11-08 19:01:00]: | epoch  11 |  2000/ 3494 batches | rec loss 0.3005 | dis loss 0.1489 |
[2023-11-08 19:01:12]: | epoch  11 |  2200/ 3494 batches | rec loss 0.2821 | dis loss 0.1493 |
[2023-11-08 19:01:24]: | epoch  11 |  2400/ 3494 batches | rec loss 0.3183 | dis loss 0.1296 |
[2023-11-08 19:01:36]: | epoch  11 |  2600/ 3494 batches | rec loss 0.3672 | dis loss 0.2181 |
[2023-11-08 19:01:48]: | epoch  11 |  2800/ 3494 batches | rec loss 0.3787 | dis loss 0.1787 |
[2023-11-08 19:02:00]: | epoch  11 |  3000/ 3494 batches | rec loss 0.3546 | dis loss 0.1707 |
[2023-11-08 19:02:12]: | epoch  11 |  3200/ 3494 batches | rec loss 0.3224 | dis loss 0.2356 |
[2023-11-08 19:02:24]: | epoch  11 |  3400/ 3494 batches | rec loss 0.2439 | dis loss 0.1162 |
[2023-11-08 19:02:30]: | end of epoch  11 | time: 215.06s |
[2023-11-08 19:02:30]: | epoch  12 |     0/ 3494 batches | rec loss 0.3316 | dis loss 0.1862 |
[2023-11-08 19:02:42]: | epoch  12 |   200/ 3494 batches | rec loss 0.3273 | dis loss 0.1842 |
[2023-11-08 19:02:54]: | epoch  12 |   400/ 3494 batches | rec loss 0.3082 | dis loss 0.2484 |
[2023-11-08 19:03:05]: | epoch  12 |   600/ 3494 batches | rec loss 0.3265 | dis loss 0.2069 |
[2023-11-08 19:03:17]: | epoch  12 |   800/ 3494 batches | rec loss 0.3641 | dis loss 0.1347 |
[2023-11-08 19:03:29]: | epoch  12 |  1000/ 3494 batches | rec loss 0.3600 | dis loss 0.2336 |
[2023-11-08 19:03:41]: | epoch  12 |  1200/ 3494 batches | rec loss 0.2832 | dis loss 0.1069 |
[2023-11-08 19:03:52]: | epoch  12 |  1400/ 3494 batches | rec loss 0.3280 | dis loss 0.1744 |
[2023-11-08 19:04:04]: | epoch  12 |  1600/ 3494 batches | rec loss 0.3325 | dis loss 0.2418 |
[2023-11-08 19:04:16]: | epoch  12 |  1800/ 3494 batches | rec loss 0.3380 | dis loss 0.1851 |
[2023-11-08 19:04:27]: | epoch  12 |  2000/ 3494 batches | rec loss 0.2960 | dis loss 0.1342 |
[2023-11-08 19:04:39]: | epoch  12 |  2200/ 3494 batches | rec loss 0.2766 | dis loss 0.1699 |
[2023-11-08 19:04:51]: | epoch  12 |  2400/ 3494 batches | rec loss 0.3256 | dis loss 0.1197 |
[2023-11-08 19:05:02]: | epoch  12 |  2600/ 3494 batches | rec loss 0.3484 | dis loss 0.2665 |
[2023-11-08 19:05:14]: | epoch  12 |  2800/ 3494 batches | rec loss 0.3712 | dis loss 0.2087 |
[2023-11-08 19:05:26]: | epoch  12 |  3000/ 3494 batches | rec loss 0.3706 | dis loss 0.1896 |
